time,buff_level
0,31.224
60,59.575
120,59.571
180,59.579
240,59.599
300,34.255
360,54.669
420,57.853
480,57.747
540,58.138
600,43.120
660,57.435
720,57.698
780,58.007
840,58.267
900,43.997
960,55.296
1020,58.287
1080,57.965
1140,57.640
1200,46.727
1260,55.162
1320,57.678
1380,57.607
1440,57.552
1500,48.139
1560,54.246
1620,56.366
1680,54.774
1740,56.691
1800,49.271
1860,50.717
1920,52.952
1980,55.409
2040,55.630
2100,47.540
2160,47.550
2220,47.985
2280,46.970
2340,45.785
2400,41.563
2460,39.902
2520,33.557
2580,34.446
2640,33.657
2700,28.864
2760,27.014
2820,26.150
2880,26.838
2940,24.905
3000,21.281
3060,21.383
3120,19.950
3180,19.773
3240,19.003
3300,16.664
3360,14.520
3420,14.133
3480,12.864
3540,11.732
3600,10.585
3660,8.914
3720,7.689
3780,8.129
3840,8.635
3900,7.559
3960,6.959
4020,7.011
4080,8.324
4140,7.645
4200,7.360
4260,6.661
4320,6.887
4380,5.128
4440,6.143
4500,5.682
4560,6.104
4620,4.763
4680,5.952
4740,5.669
4800,5.496
4860,5.809
4920,4.956
4980,5.403
5040,5.576
5100,5.195
5160,5.449
5220,5.261
5280,4.866
5340,4.901
5400,4.256
5460,4.045
5520,4.247
5580,4.082
5640,3.863
5700,4.653
5760,3.814
5820,3.978
5880,4.491
5940,4.080
