time,del_rate
0,12031.579
60,45764.340
120,45036.513
180,46368.943
240,47949.903
300,7203.557
360,10084.193
420,9452.685
480,8787.583
540,11309.575
600,4918.728
660,6056.248
720,7024.477
780,6487.094
840,7011.273
900,3838.785
960,4634.115
1020,5087.699
1080,5891.502
1140,4705.321
1200,3156.324
1260,3427.907
1320,3604.852
1380,3344.347
1440,3448.534
1500,2606.357
1560,2685.386
1620,2947.930
1680,2769.968
1740,2841.754
1800,2352.087
1860,2365.028
1920,2380.405
1980,2447.241
2040,2491.533
2100,2211.554
2160,2077.353
2220,2078.868
2280,2093.783
2340,2074.687
2400,1900.190
2460,1974.005
2520,1879.713
2580,1854.875
2640,1814.917
2700,1739.499
2760,1777.999
2820,1714.043
2880,1777.349
2940,1825.906
3000,1580.237
3060,1656.579
3120,1502.131
3180,1653.968
3240,1638.017
3300,1568.376
3360,1562.318
3420,1641.325
3480,1602.926
3540,1536.227
3600,1382.648
3660,1384.904
3720,1391.644
3780,1490.010
3840,1560.736
3900,1451.988
3960,1438.472
4020,1379.487
4080,1392.037
4140,1503.942
4200,1353.829
4260,1390.810
4320,1422.118
4380,1196.801
4440,1366.472
4500,1255.275
4560,1377.967
4620,1154.915
4680,1342.530
4740,1337.076
4800,1340.775
4860,1269.613
4920,1257.312
4980,1474.203
5040,1271.797
5100,1280.806
5160,1327.651
5220,1252.640
5280,1322.130
5340,1321.185
5400,1145.262
5460,1124.984
5520,1193.433
5580,1065.791
5640,1095.049
5700,1136.251
5760,1102.170
5820,1184.688
5880,1198.621
5940,1141.371
