period,id,del_time
1,1,0.365
1,4,0.741
1,3,0.235
1,9,0.118
1,8,0.247
1,10,0.255
1,6,0.517
1,2,0.037
1,7,0.364
1,5,0.432
2,14,0.341
2,11,0.093
2,19,0.155
2,15,0.173
2,18,0.364
2,16,0.188
2,13,0.173
2,12,0.196
2,17,0.333
2,20,0.174
3,30,0.268
3,27,0.184
3,26,0.325
3,25,0.788
3,24,0.394
3,23,0.274
3,22,0.439
3,21,0.456
3,29,0.173
3,28,0.189
4,39,1.732
4,35,0.286
4,34,0.535
4,37,1.380
4,33,1.364
4,32,0.204
4,31,1.239
4,36,1.661
4,40,0.190
4,38,0.851
5,44,5.611
5,45,1.913
5,41,2.119
5,46,2.174
5,47,2.139
5,48,1.977
5,49,1.776
5,50,1.936
5,42,2.119
5,43,5.709
6,57,2.626
6,58,1.831
6,59,2.114
6,60,2.523
6,55,1.598
6,54,2.627
6,53,2.266
6,52,3.515
6,51,1.874
6,56,2.193
7,70,3.701
7,68,3.433
7,62,3.813
7,64,3.432
7,65,4.343
7,69,3.700
7,61,2.004
7,63,4.058
7,66,3.432
7,67,2.702
8,78,2.064
8,80,2.064
8,79,5.839
8,77,5.839
8,76,2.932
8,75,2.065
8,74,3.829
8,73,2.066
8,72,1.589
8,71,2.148
9,83,6.686
9,84,6.590
9,85,7.273
9,86,10.044
9,87,9.543
9,88,7.274
9,89,7.274
9,90,5.206
9,81,11.946
9,82,7.912
10,91,3.292
10,92,7.540
10,93,3.528
10,94,4.467
10,95,7.818
10,96,9.646
10,100,9.646
10,97,5.267
10,98,6.115
10,99,5.143
11,110,7.509
11,109,6.731
11,108,5.068
11,107,6.122
11,106,2.995
11,105,3.681
11,104,8.989
11,103,5.768
11,102,4.902
11,101,10.489
12,119,14.653
12,118,6.468
12,117,19.653
12,116,2.105
12,115,11.513
12,114,2.226
12,113,22.889
12,112,6.851
12,111,2.536
12,120,3.268
13,123,8.674
13,121,9.120
13,122,19.915
13,124,1.904
13,125,14.556
13,126,9.960
13,127,6.324
13,128,14.786
13,129,11.941
13,130,6.426
14,140,3.383
14,132,3.077
14,133,3.680
14,134,9.092
14,135,3.404
14,131,8.825
14,136,3.319
14,137,6.805
14,138,3.178
14,139,2.737
15,145,1.877
15,141,5.369
15,142,1.877
15,143,2.851
15,144,2.211
15,146,2.890
15,147,2.794
15,148,1.878
15,149,2.212
15,150,2.869
16,159,1.817
16,151,1.656
16,152,2.167
16,153,1.656
16,154,6.362
16,160,1.653
16,155,1.818
16,156,3.497
16,157,2.855
16,158,1.641
17,165,8.839
17,170,2.945
17,169,7.168
17,168,14.399
17,167,2.946
17,166,7.052
17,164,3.908
17,163,2.927
17,162,4.625
17,161,3.910
18,180,2.076
18,171,1.975
18,172,1.895
18,173,1.758
18,174,1.973
18,175,1.973
18,176,1.758
18,177,1.972
18,178,1.607
18,179,2.031
19,189,11.770
19,181,10.852
19,182,1.708
19,183,7.745
19,184,7.286
19,185,13.653
19,186,10.198
19,187,11.089
19,188,10.542
19,190,12.664
20,199,13.807
20,191,3.140
20,192,3.381
20,193,6.465
20,194,10.450
20,195,12.656
20,196,7.342
20,197,13.587
20,198,13.767
20,200,8.703
