time,stations
0,10
60,10
120,10
180,10
240,10
300,20
360,20
420,20
480,20
540,20
600,30
660,30
720,30
780,30
840,30
900,40
960,40
1020,40
1080,40
1140,40
1200,50
1260,50
1320,50
1380,50
1440,50
1500,60
1560,60
1620,60
1680,60
1740,60
1800,70
1860,70
1920,70
1980,70
2040,70
2100,80
2160,80
2220,80
2280,80
2340,80
2400,90
2460,90
2520,90
2580,90
2640,90
2700,100
2760,100
2820,100
2880,100
2940,100
3000,110
3060,110
3120,110
3180,110
3240,110
3300,120
3360,120
3420,120
3480,120
3540,120
3600,130
3660,130
3720,130
3780,130
3840,130
3900,140
3960,140
4020,140
4080,140
4140,140
4200,150
4260,150
4320,150
4380,150
4440,150
4500,160
4560,160
4620,160
4680,160
4740,160
4800,170
4860,170
4920,170
4980,170
5040,170
5100,180
5160,180
5220,180
5280,180
5340,180
5400,190
5460,190
5520,190
5580,190
5640,190
5700,200
5760,200
5820,200
5880,200
5940,200
